name,DecisionTreeClassifier,RandomGuesser,AdaBoostClassifier,AdaBoostRegressor,GradientBoostingClassifier,GradientBoostingRegressor,BaggingClassifier,BernoulliNB,CalibratedClassifierCV,CategoricalNB,ComplementNB,DummyClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GaussianProcessClassifier,HistGradientBoostingClassifier,KNeighborsClassifier,LabelPropagation,LabelSpreading,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,NuSVC,PassiveAggressiveClassifier,Perceptron,QuadraticDiscriminantAnalysis,RadiusNeighborsClassifier,RandomForestClassifier,RidgeClassifier,RidgeClassifierCV,SGDClassifier,SVC,XGBoostClassifier
energy-y1_R,0.974025974025974,0.2792207792207792,0.8701298701298701,0.3246753246753247,0.9675324675324676,0.0,0.9675324675324676,0.8246753246753247,0.8896103896103896,0.8051948051948052,0.8051948051948052,0.422077922077922,0.974025974025974,0.974025974025974,0.8051948051948052,0.8636363636363636,0.974025974025974,0.8311688311688312,0.8441558441558441,0.8376623376623377,0.8766233766233766,0.8701298701298701,0.8311688311688312,0.8441558441558441,0.8376623376623377,0.8051948051948052,0.8116883116883117,0.8441558441558441,0.8246753246753247,0.8766233766233766,0.6103896103896104,0.8181818181818182,0.974025974025974,0.8116883116883117,0.8246753246753247,0.8116883116883117,0.8506493506493507,0.974025974025974
energy-y2_R,0.9155844155844156,0.3246753246753247,0.8571428571428571,0.577922077922078,0.9285714285714286,0.0,0.9025974025974026,0.8246753246753247,0.8181818181818182,0.7987012987012987,0.7662337662337663,0.4545454545454545,0.9025974025974026,0.922077922077922,0.7402597402597403,0.8571428571428571,0.9415584415584416,0.8246753246753247,0.8506493506493507,0.8441558441558441,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.8571428571428571,0.7857142857142857,0.8246753246753247,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.7272727272727273,0.7987012987012987,0.9155844155844156,0.8181818181818182,0.8181818181818182,0.7792207792207793,0.8246753246753247,0.948051948051948
fertility_R,0.9,0.9,0.85,0.7,0.9,0.0,0.9,0.9,0.9,0.9,0.75,0.9,0.8,0.9,0.9,0.9,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.85
flags_R,0.4358974358974359,0.2307692307692307,0.4102564102564102,0.0,0.6666666666666666,0.0,0.5128205128205128,0.5384615384615384,0.4102564102564102,,0.4615384615384615,0.4102564102564102,0.5384615384615384,0.5641025641025641,0.2307692307692307,0.5897435897435898,0.5641025641025641,0.4358974358974359,0.5128205128205128,0.5128205128205128,0.3333333333333333,0.4615384615384615,0.4102564102564102,0.4615384615384615,0.4871794871794871,0.358974358974359,0.282051282051282,,0.2307692307692307,0.358974358974359,0.3846153846153846,,0.6410256410256411,0.4358974358974359,0.4102564102564102,0.4615384615384615,0.4615384615384615,0.5897435897435898
glass_R,0.7906976744186046,0.2093023255813953,0.4883720930232558,0.0,0.8837209302325582,0.0,0.7209302325581395,0.4418604651162791,0.6511627906976745,0.3255813953488372,0.4883720930232558,0.3255813953488372,0.7674418604651163,0.8372093023255814,0.5581395348837209,0.5581395348837209,0.8372093023255814,0.6511627906976745,0.7209302325581395,0.7209302325581395,0.6976744186046512,0.6046511627906976,0.5813953488372093,0.6976744186046512,0.6046511627906976,0.3953488372093023,0.627906976744186,,0.627906976744186,0.4883720930232558,0.5348837209302325,0.3488372093023256,0.813953488372093,0.5813953488372093,0.5813953488372093,0.6511627906976745,0.6976744186046512,0.8372093023255814
haberman-survival_R,0.6451612903225806,0.6451612903225806,0.6774193548387096,0.0,0.6290322580645161,0.0,0.6290322580645161,0.7096774193548387,0.6935483870967742,0.7096774193548387,0.6129032258064516,0.7096774193548387,0.6290322580645161,0.6774193548387096,0.7096774193548387,0.7096774193548387,0.6612903225806451,0.7096774193548387,0.6612903225806451,0.6612903225806451,0.6935483870967742,0.6612903225806451,0.7096774193548387,0.6935483870967742,0.6935483870967742,0.7096774193548387,0.5967741935483871,0.6774193548387096,0.6935483870967742,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6451612903225806
hayes-roth,0.6875,0.28125,0.65625,0.15625,0.75,0.0,0.75,0.5625,0.5625,0.3125,0.3125,0.3125,0.71875,0.71875,0.3125,0.4375,0.6875,0.65625,0.6875,0.6875,0.4375,0.3125,0.3125,0.3125,0.5625,0.3125,0.40625,0.6875,0.5,0.21875,0.59375,0.3125,0.75,0.3125,0.3125,0.34375,0.65625,0.75
heart-cleveland_R,0.4590163934426229,0.3770491803278688,0.5409836065573771,0.0,0.4918032786885246,0.0,0.5081967213114754,0.5081967213114754,0.5409836065573771,0.5409836065573771,0.5737704918032787,0.4754098360655737,0.4918032786885246,0.5245901639344263,0.3278688524590163,0.5409836065573771,0.5081967213114754,0.5081967213114754,0.5737704918032787,0.5737704918032787,0.5245901639344263,0.5409836065573771,0.5245901639344263,0.5409836065573771,0.5573770491803278,0.4754098360655737,0.6065573770491803,,0.4590163934426229,0.5081967213114754,0.5409836065573771,,0.5081967213114754,0.5409836065573771,0.5245901639344263,0.5245901639344263,0.5409836065573771,0.4918032786885246
heart-hungarian_R,0.7457627118644068,0.5932203389830508,0.8305084745762712,0.0,0.8135593220338984,0.0,0.7457627118644068,0.7796610169491526,0.847457627118644,0.7966101694915254,0.7627118644067796,0.6440677966101694,0.7966101694915254,0.7966101694915254,0.7966101694915254,0.8135593220338984,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.8305084745762712,0.8135593220338984,0.8305084745762712,0.8305084745762712,0.8135593220338984,0.8305084745762712,0.8135593220338984,0.8135593220338984,0.8135593220338984,0.8305084745762712,0.7966101694915254,,0.8305084745762712,0.8305084745762712,0.8135593220338984,0.6779661016949152,0.7966101694915254,0.7288135593220338
heart-switzerland_R,0.16,0.16,0.2,0.0,0.32,0.0,0.24,0.36,0.4,0.28,0.44,0.36,0.52,0.28,0.12,0.4,0.24,0.32,0.28,0.28,0.48,0.44,0.4,0.36,0.48,0.4,0.24,,0.36,0.36,0.28,,0.24,0.4,0.4,0.44,0.4,0.28
